,Negative_reviews
834,"garbage barely works takes forever to upload facebook instagram or any other social media app is 100000000000 faster :  
"
835,"the app always crashes on me it also changes the color of my font on my site if i edit any post through it :  
"
836,"always crashing when writing or erasing very disappointing :  
"
837,"wordpress is awesome i do think it could be made a little more user friendly but it is nearly there  :  
"
838,"the reblog button is not working in the mobile app fix that problem and ill give you 5stars :  
"
839,"wheres the downgrade button the old stats widget was perfect now you get a behemoth of 4x2 instead of the old 4x1 :  
"
840,"am getting to understand lot about the site but so far it cool :  
"
841,"requires signing up asked to install additional software :  
"
842,"wordpress is cheating people by not letting them know what exactly is behind the scene i purchased a premium plan with 30 days refund then a domain was quoted as free with plan but i did not find it useful and opted out of it guess what you have been trapped out of 2940 they deducted 1920 saying domain registration charges are you serious you did not mention it while opting for the plan about the amount breakup and customer support is even worse they keep repeating same word i lost 1920 in this trap but glad that i did not continue as there could be more wont recommend wordpress to anyone after this experience :  
"
843,"it was good until my drafts arent getting saved anymore on my phone therefore i cant edit it on my computer when im using that device which is disappointing :  
"
844,"the weborders from woocommerce used to show in the notifications now there is nothing but links to articles about nothing i need to know about bring back the new order notifications :  
"
845,"media not found constantly little information to fix this available :  
"
846,"cant freaken upload an image tried everything clearly every third person is having this problem :  
"
847,"very good for editing posts but does not work many plugins such as post expirator :  
"
848,"will not sync with my wordpress blog totally useless :  
"
849," cant login or register error  :  
"
850,"i used to be able to check what post people were reading but now it just shows the stats and i have no way of seeing what theyre reading :  
"
851,"i recently posted a blog in my site there is a change in font which makes the post look stupid please kindly rectify it :  
"
852,"worst experience ever on wordpress platform due to new editor im shifting to blogger i think wordpress is not for beginners :  
"
853,"editing and oosting is not functioning rpeating error blog is hidden and could not be loaded where is developer is they are sleeping :  
"
854,"why cant i add feature image from this app it always says uploading media and then all of sudden it crashes like hell :  
"
855,"stats in new version display incorrectly and cant view the old data please fix this issue :  
"
856,"cant change my font no option for creating a table cant add colour and so on :  
"
857,"i use it pretty much every day the photo uploader never seems to work though :  
"
858,"just logon to your wordpress via browser this app has lots of bugs :  
"
859,"wordpress is getting me exasperated i cant log in after creating my profile please intervene :  
"
860,"app makes it diffigult for me to rank google search console keeps flagging my posts with noindex crawl errors :  
"
861,"the app is misbehaving i cannot publish my post always telling me cannot perform operation :  
"
862,"sweet experience just that the network messes up sometimes :  
"
863,"cant follow pages seems to be a glitch when trying to register email :  
"
864,"crashes as soon as i login looks like will have to stick to desktop updates disappointed :  
"
865,"get message please login using your username instead well how am i supposed to do that theres no option to :  
"
866,"very difficult to navigate on a phone always brings you to the mobile browser whats the point of having an app if all it does is bring you to the browser :  
"
867,"doesnt work blog posts never load please fix it asap :  
"
868,"why still redirects to webpage if i have to sign in everywhere what is use of this app  :  
"
869,"new widget doesnt update and takes up too much real estate on my phones screen poor update :  
"
870,"hi why does my webpage crashing and there seems to be like bugs :  
"
871,"unable to write a blog having trouble creating a website very very confused :  
"
872,"i am satisfied as a beginner blog builder i have no queries right now :  
"
873,"works great had to find replacement for blogger :  
"
874,"cant even post an article as the article keeps on scheduling even after pressing publish now im so irritated with this app right now :  
"
875,"cant seem to connect to my social media accounts i get error messages always :  
"
876,"it often doesnt work the formatting is impossible to work on my phone bleh :  
"
877,"i use google captcha for admin login this app doesnt support that and keeps saying my password is incorrect :  
"
878,"its the best blog am using the free version but i dont even feel it :  
"
879,"many blogs of interest and references to additional posters :  
"
880,"very useful in every way not much ad interruptiongood app  :  
"
881,"loooove this app but i cant upload photos most of the time and have to open my browser  :  
"
882,"i am an associate author on a blog on wordpress after writing my post i wanted to upload a featured image but it keeps telling me error and i cant uploade please do something about those i am so fraustrated now thanks :  
"
883,"do not waste your time downloading this app they refund me after cancellation of an upgrade and charged me again i contacted the so called happiness engineers ending up being sad never even try to download this :  
"
884,"i am using cloudflare free plan it is blocking my xmprpcphp file and it show 404 error any help to resolve this issue :  
"
885,"please help i m not able to connect my site with the app trying from past three days :  
"
886,"lots of bug that must be repaired for smooth blog posts  :  
"
887,"posts arent shared each time its just a upload failed what a shame :  
"
888,"note 8 freezes and crashes the entire app i tries reinstall and i tried to delete cache but nothing helped :  
"
889,"leaves a lot to be desired but my rating is mostly due to the fact i posted over 20 blogs yesterday the app told me they were posted yet they didnt appear in my site not really acceptable :  
"
890,"the app stop working after update wordpress 52 and the php version change from 56 to 72 :  
"
891,"this app was good until the new update i cant even get into my email i used i spent so much monet so much time im screwed :  
"
892,"this is all over a great app but i am not able to open my drafts and it just crashed plz fix it :  
"
893,"i dont have any website related techical knowlege i prepared my website through wordpress myself happy to share one recent blog has been crawled by google and is being shown to thousands of users by google :  
"
894,"fails to insert media which is a pain in the well you know :  
"
895,"there is no way to open site inside the app for this u have to go to a browser do update so that we can customise our site inside the app otherwise there is no meaning of this app :  
"
896,"many problems still block editor has many unsupported issues cant update categories came publish posts :  
"
897,"worst if we click anything could not be refreshed now error :  
"
898,"i just wish there was a way to spell check from the app maybe there is its just user error :  
"
899,"its worst experience ever in wordpress i can not upload any post from last update kindly fix this issue :  
"
900,"impossible to generate traffic editing very sluggish :  
"
901,"there needs to be an update to fix this bug as i am trying to edit one of post feeezes then app and closes repeately :  
"
902,"i have a very difficult time using the app i have never been able to upload any media its very frustrating :  
"
903,"crashes all the time when i try to edit my postvery annoying :  
"
904,"best thing to start with before going to platforms like ecommercebetter to start with wordpress than add a shopping cart i like ecwid wix or other things like square :  
"
905,"the whole site is a ripoff i paid for a premium and it is not customizable at all unless of course you have a degree is coding buying my domain name through wordpress is the biggest waste of money ever dont do it :  
"
906,"i like this app but i have some issues or difficulties of sitemapp i cant find it on google search engine can you please help how to :  
"
907,"this app is no good to use according to me my 2account hasbeen suspended for no reason and i cant open 3rd account and no support from services :  
"
908,"i edited a long article but cant publish and find out this app is useless :  
"
909,"media upload for blog posts doesnt work no matter what you do :  
"
910,"very terrible app i just created a blog and i want to upgrade it to premium but its not responding :  
"
911,"i used to be able to set a log in pin before i entered my app how do i set it up again i cannot find it in any settings :  
"
912,"taking forever to load post practically useless used to work :  
"
913,"its nice obviously cant do all you can on the site but wish it had more accessibility :  
"
914,"the new architecture with blocks isnt quite seamless but its ok i guess :  
"
915,"everything is good but this app closed automatically after couple of minute thats why i did not give it 5 rating :  
"
916,"this last update messed up my wordpress experience i cant read my saved post anymore :  
"
917,"what is this app still same as on pc have upload photo problem this centry have a app concern few mb photo upload crazy :  
"
918,"not to stable on android os crashed each 15 min :  
"
919,"app publishes article multiple times when i submit then i have to delete atleast 10 duplicate posts :  
"
920,"pretty good but can be better  :  
"
921,"has popup add at beginning that is real annoying hard to get rid of :  
"
922,"this app is very dodgy they said my refund would be back but until now i have no refund and also they said that they made this happened more than 1 month :  
"
923,"one day i have seen the gutenberg in the wordpress app but next day guttenberg is not available in the app or any setting there :  
"
924,"autosave sucks logged in with app and it wiped my whole blog on exit :  
"
925,"it says my blog was published but when i open my site its not visible there  :  
"
926,"keeps stopping everytime im uploading media :  
"
927,"it doesnt sync when i do something using desktop it doesnt reflect in my mobile app :  
"
928,"i cant even get it to install on my note 9 it just gets to 99 and just sits there :  
"
929,"doesnt let me load pictures and media to my postalways show an error :  
"
930,"wordpress is advertising there name too much in the website they create for people which means is not my websites they tagged there logo named in every part of the websites any thing you click it will bring you out of your websites and take viewers to create there own websites which is bad wordpress is not good for a blogger and business people google go and warn them now to stop deceiving people to create websites if wordpress create for you they put there name tagged all over :  
"
931,"home page not updating if i make any changes my problem detected after new updates of wordpress :  
"
932,"wordpress is nice but no payment at all :  
"
933,"app is good but lack of facilities like plugins and does not support image linking etc :  
"
934,"the ability to change post dates to prior day is gone :  
"
935,"im very happy with wordpress as a blog platform i have a standard package and its exactly what i need side note why do i have to agree to the possibility of my review being edited thats suspicious :  
"
936,"great so far except nothing is free it is to an extent pay to play i guess lol :  
"
937,"i took back the 2 stars i gave you for the stick flag because is not there as you declared maybe the update is not available yet :  
"
938,"wondeful but today unable to save edits and get server error message same issue with mobile :  
"
939,"after recent update posts not getting published rectify immediately or restore old version back :  
"
940,"its just wont stop closing whenever i edit my postlike every 2 minutes :  
"
941,"i cant upload any post it said failed to upload please fix this :  
"
942,"very useful to monitor activity i do not use this app to produce content :  
"
943,"it gets stuck whenever i wanna write something in my blog please fix it now :  
"
944,"worpress is cool for getting your website hosted and keep updating dont need to bother about hosting and other things :  
"
945,"i have not used it long but seem good however can ww please please get a dark mode on this and the main site :  
"
946,"yeah man it says unsupported images cant even see what im dealing with or change it :  
"
947,"this is cool and all but why cant i put pages on the menu with it :  
"
948,"im using it on android mobile and many plugins like yoast wp kind of not support means no option for install all that so what i should do disappointed pls make it easy wp team  :  
"
949,"post keeps uploading for half an hour fix this asap :  
"
950,"fair enough for a phone application but proper threading of comments would be big upgrade :  
"
951,"last update is not letting us type sharing a story will double the letters cant type or write a post :  
"
952,"its failing to upload content and edit profile :  
"
953,"i am not saying this app is useless but it does exactly what you can do in browser i mean all of you have a browser in your phone right thats actually way better than wasting your memory for this app :  
"
954,"widgets do not appear to be working correctly on android q beta version 2 i sent an email with details  :  
"
955,"so stupid app maximum i can make logo picture and name in stupid rubbish :  
"
956,"the latest version cannot generate quick short links :  
"
957,"i cant my blog it shows to me generic error :  
"
958,"not helpful some important tabs are not functional highly disappointed :  
"
959,"the notifications dont seem to work i only get notifications when im in the app :  
"
960,"i would like to add my own domain into wordpress which keeps failing everytime :  
"
961,"great but dont know why its not working properly on my k7 1gb ram phone :  
"
962,"always stuck on checking site address please fix it :  
"
963,"could no login to app it says it a invalid urli already have my wp site up and running :  
"
964,"love this initiative just wan i needed to start with a blog will love it of a dark theme can be added otherwise great :  
"
965,"latest update repeats letters so anany letletters lolook liklike thithis previously one of the best apps i used but actually unusable since update to v111 :  
"
966,"slow crashing all the time and doesnt let me upload not intuitive at all :  
"
967,"the app was ok but after the update it became slower and the widget stop working :  
"
968,"i lost the share button of link link in site pages thats very important what did you remove it :  
"
969,"great app all must install it dont forget to install :  
"
970,"constantly telling me it cant upload and is saving locally instead :  
"
971,"i am unable to login this wordpress app after entering right user name and paasword its not opened :  
"
972,"easy to use free wish easier to monetize but cant complain as free :  
"
973,"lots of problems while uploading images :  
"
974,"fantastic best web development app cannot recommend enough :  
"
975,"navigation is awful im a site administrator and im having a hell of a time performing simple things :  
"
976,"great but should not try to introduce new bloggers i didnt ask for :  
"
977,"it is perfect for beginners but i dont know how to monetize it :  
"
978,"please make onboarding easier how to setup and everything took me damn an hour to setup on website and then later 20 mins on mobile app :  
"
979,"good app but uploading pictures is a pain :  
"
980,"why cant i upload audio files  :  
"
981,"doesnt allow me to login so uninstalled it :  
"
982,"i dont get why everytime i am trying to write a blog the keyboard just doesnt work i need help otherwise the app works pretty good :  
"
983,"the app is good butwhy cant audio be uploaded why why why why y y y y y y y y y y y y  :  
"
984,"what happened to wordpress not delivered my post to my subscriber :  
"
985,"pretty good but hard to share with facebook and instagram :  
"
986,"good but sometimes it crashes or gets slow :  
"
987,"cannot log in to my own website i spent money on anymore :  
"
988,"i am unable to upload posts from this app i get this error post upload failed :  
"
989,"not able to get stats tried after jatpack uninstalledinstalled but unable to set up jatpack again :  
"
990,"nice but need more improvement i want to read some music blog but the reading part its dissipoint you :  
"
991,"couldnt publish the articles generic error :  
"
992,"i cant login to my self hosted site xmlrpc not active any help  :  
"
993,"cant upload audio just waiting for video or photos :  
"
994,"doesnt seem to be keeping up with the current version of wordpress :  
"
995,"cant login in mobile app working in desktop chromeplz fix it :  
"
996,"upgrade disaster cant upload to blog now :  
"
997,"app doesnt work well very slow cant create new post :  
"
998,"from bangladesh i cant get my verification code for login so i cant sign in please help me how i will solve the problem :  
"
999,"now app is not working what is the problem :  
"
1000,"why does wordpress link not open up to a web browser :  
"
1001,"good to use but dont have cash to upgrade :  
"
1002,"so additions are not necessary :  
"
1003,"i cant write a post because it keeps doubling the letters please fix this :  
"
1004,"i will give it 4 stars becoz when uploading a post it repeats 45 timesfix it asap :  
"
1005,"not liking the lack of a 4x1 widget in this update the 4x2 widgets take up way too much space  :  
"
1006,"two stars because still no dark mode when its finally added ill rate it 5 stars :  
"
1007,"its good but i cant delete a news or a mistake i made fix it please :  
"
1008,"arbitrarily crops images and changes font face of posts :  
"
1009,"cannot move posts to a new page with this app :  
"
1010,"the old 4x1 widget was beautiful the new ones are hideous i can see if you want to add new widgets but why take away the nice ones :  
"
1011,"app sucks it says you do not have a site when in fact you do stick with the computer application this is a waste of time :  
"
1012,"everything is good but i am facing glitch in purchase please help me out :  
"
1013,"everything is good but i am facing glitch in purchase please help me out :  
"
1014,"help where die my pin lock go the option is totally gone since last update please fix this asap :  
"
1015,"takes forever to update otherwise a good app :  
"
1016,"disappointing please make wordpress mobile friendly on chrome i cant drag n drop in mobile chrome version  :  
"
1017,"this is a time wasting app few things wrong with it poor user support said my password is wrong but google says it fine :  
"
1018,"good for writing posts while hiking in backcountry then uploading later :  
"
1019,"free wordpress showing so many advertisements without permission :  
"
1020,"actually this application helps me managing my post but the trouble is i cant attach pictures to my post awlays failed to attach picture :  
"
1021,"my website doesnt play video that i uploaded from you tube :  
"
1022,"i love wordpress now i dont have any excuse not to post regularly i can post anything anytime anywhere :  
"
1023,"hey there is a problam while i am cheaking statics in my pc they are deiffrent and in the app they are diffrent whats going on :  
"
1024,"web version is better useless application very dissapointed :  
"
1025,"its good but am lossing my votes and comments from post that the fact hate it i had near lose 1000 responses from it litteraly it u want to prove do something about this matter :  
"
1026,"i am not able to upload any photos through the mobile app its getting annoying please help :  
"
1027,"my expeirence was fine but when my siter tryed to create her blog it started gliching like crazy :  
"
1028,"im a wordpress fan but this app is a shame it doesnt deserve to be called wordpress :  
"
1029,"trouble not support with audiomack embedding code :  
"
1030,"i try to login and when it does it doesnt show stats say couldnt refresh :  
"
1031,"not sure why they needed to break this cant paste anymore sad :  
"
1032,"html editor doesnt save my code properlywas forced to uninstall and look for alternative methods :  
"
1033,"its easy to use and real nice but i cant upload pictures :  
"
1034,"its wonderful except the choices of back grounds for the site :  
"
1035,"this app is not workingand i am unable to paste anything which i have written somewhere else :  
"
1036,"i not sure the purpose of having the app i have to explore more but instructions are not clear on how to use some of the features :  
"
1037,"previous review was removed    :  
"
1038,"no projectsportfolio menu can you add it it is essential :  
"
1039,"app has been crashing for days and its slowing down my work i hope you technical team do something about it :  
"
1040,"i like it but i cant purchase a domain name with the app :  
"
1041,"doesnt work it needs to work i just use the website :  
"
1042,"i have auto updated my websiteall my previous data crashedvery bad experience :  
"
1043,"havent been able to even log in useless app :  
"
1044,"some of the readers have complained that they are unable to like the post :  
"
1045,"remover my google account and drive google and gmail :  
"
1046,"app is not loading on blackberry keyone what am i missing :  
"
1047,"last update broke the stats feature daily stats show garbage for numbers :  
"
1048,"everything sucks with wordpress it is garbage and not worth paying for :  
"
1049,"when im trying to signup it says that my password is incorrect and it is actually not i need help :  
"
1050,"my first experience of blogging enjoying seems that no one likes my posts frustrating :  
"
1051,"glad if whatsapp button become basic tool like the others :  
"
1052,"i have a blog it just stopped appearing i cant find it online aks it is hard to get support :  
"
1053,"started a website to promote my book series it is a big help with the free version cant afford the premiun versions but still you all rock :  
"
1054,"easy to use i lost my phones and details of my social media accounts and my word press but the day my brain settled and i rememnered my email my site was opened i should give you all five but im reserving 2 incase of  :  
"
1055,"i wish there was a phone so i could actually talk to someone i am having problems and the chat does not cut it for me :  
"
1056,"stats are not showing error occurs data not loading :  
"
1057,"editor updating fails often    :  
"
1058,"keeps stopping when i try to post please update :  
"
1059,"im logged in as admin why cant i select author :  
"
1060,"is a very good app every one should it wjo wants a better website and planes :  
"
1061,"proper visibility isnt there   :  
"
1062,"not great i pay for premium but can not find a way to get responses to my questions :  
"
1063,"sometimes i cant access comments on my blog posts or i receive notifications late :  
"
1064,"practically useless very few features and they dont even work dont know how it got a 42 rating :  
"
1065,"not providing activity log     :  
"
1066,"crashes everytime i want to add my pass and id :  
"
1067,"disabled the option to paste a password why deleted :  
"
1068,"i connect my website suddendly crash my site very dangerous app :  
"
1069,"why is it asking me password each and everytime i view my blog post please resolve this issue :  
"
1070,"not working uploading image failed always :  
"
1071,"slightly slow everything else good :  
"
1072,"cant quite do everything you can on pc but enough for me i use it daily :  
"
1073,"why not post my blog link in facebook plz solution this problem :  
"
1074,"i find it difficult to upload my videos with wordpress and i still have account with wordpress but why :  
"
1075,"not enjoying this app it stopped working just deleted it :  
"
1076,"im happy with it very comfy to get around this app :  
"
1077,"image uploading is slow        :  
"
1078,"thus far a little hard for me to use but im on a learning curve with this website stuff anyway :  
"
1079,"greatbut difficult to upload pictures :  
"
1080,"i made a blog but i cant find it on the internet :  
"
1081,"needs more d iui different types of fonts :  
"
1082,"used it for a few years for my blog :  
"
1083,"sharing feature of a post is not workingotherwise its good :  
"
1084,"i have publish my 1st ever blog but i cant search it in browser pls how :  
"
1085,"peace of cant load statistic if login with website address :  
"
1086,"whenever i post from the hindi title and also change the slug i write it in english and then publish it even then my slug comes in hindi please fix it :  
"
1087,"just a filler app with no actual ability to do anything constructive :  
"
1088,"doesnt make any different than website hard to use :  
"
1089,"a must have and a must use for a blogger :  
"
1090,"no errors or crashes till now  :  
"
1091,"nice app dear sir but sometime show error when i click on blog post :  
"
1092,"i cant even upload audio       :  
"
1093,"what pathetic update is this i am not able to see stats of current day in detail also cannot see stats of previous day :  
"
1094,"many time its show error with no reason :  
"
1095,"cant even log in mitcheew backing out :  
"
1096,"pathetic the new block system will make you lose your data by not autosaving it well and leaving you with no other option than refreshing the page you cannot copy the block contents simultaneously entirely via command c either :  
"
1097,"apps is good but hope its continue :  
"
1098,"people cant comment on my posts inspite of comments option being onncan someone please help :  
"
1099,"horrible app infected my android a literal hackers paradise as far as apps go 1995 technology a very sad joke :  
"
1100,"very pathetic i update my websites but this app is always failed to pub the post useless :  
"
1101,"good apps but still dont match with web version yet :  
"
1102,"wp is censoring content on my site front page britain and preventing posts from being published i dont use a hosting provider as i use the wordpress app :  
"
1103,"i do wonder why my italic suddenly shut down while i was writing in italic mode its annoying or the italic suddenly off while i wrote on the sexond word :  
"
1104,"password incorrect works on chrome :  
"
1105,"love gutenberg hate how hard it is to make a post from the app itself :  
"
1106,"very great except the prices of plans :  
"
1107,"wp is always on top of the rankings :  
"
1108,"cant login to the application  :  
"
1109,"where is the option for selfhosted sitesit is showing in description but not in app :  
"
1110,"cant upload music very bad     :  
"
1111,"couldnt blog without it        :  
"
1112,"i personally dont like it as much as i do the actual website therefore i dont see the point of the app :  
"
1113,"my stat not loading well even with better connection :  
"
1114,"how can i deactivate it i dont want that site out there i tried to open a store and open a blog for me now its taking the name that i want to use and it has it out there so i cant use it again :  
"
1115,"please stop crashing i use this app to write editorials and this is embarrassing me :  
"
1116,"i find this app and wordpress has deteriorated :  
"
1117,"getting ad is very difficult   :  
"
1118,"worst app for free version blogspot is better than this app :  
"
1119,"pretty good app but the tags function doesnt work :  
"
1120,"i am unable to post new posts from wordpress app :  
"
1121,"i give right password for login but it says password is wrongbut why please help me :  
"
1122,"been blogging for 3yrs now no complains :  
"
1123,"its ok bit hard to figure out what the buttons do and how to make a site but youll get the hang of it :  
"
1124,"does not work with up to date self hosted sites :  
"
1125,"why cant i use this app untill i get wifi :  
"
1126,"but am confused that how can i earn money from this :  
"
1127,"best app for them who doesnt know coding of a websitewebpage :  
"
1128,"breathless and stimulatingjust what i need its better than sex french or weed :  
"
1129,"cannot use not user friendly at all :  
"
1130,"why anyone cant visit my blog please solution this problem :  
"
1131,"ive used wordpress for years   :  
"
1132,"i just downloaded this app and its just stopping and deleting everything i typed its annoying and this is definately not the best way to treat a new person :  
"
1133,"crashed too many times         :  
"
1134,"why does the app always go off whenever i try to paste a content into a post :  
"
1135,"the post i am writing has disappeared from the app and i am unable to update it :  
"
1136,"pro can quickly get to wp con awkward :  
"
1137,"can not upload images          :  
"
1138,"rubbish appcrashed whilst i was working on an article an hours work lost :  
"
1139,"needs additional features and updating :  
"
1140,"wheres the old widgets 4 1 very bad you gyz just remove that we dont have enough space for 4 2 better we open the app and check manually :  
"
1141,"this is the worst version of this app hating it so much i would love to go back to the previous version if its possible :  
"
1142,"i made a website on it just after installing it and deleted it immediately due to some personal issues will it going to charge me :  
"
1143,"my site doesnt exist in wordpress please help :  
"
1144,"the map which you used to show stats shows map of india which is wrong as you havent shown whole of kashmir in india and some of its part was shown with pakistan so i request u to make it right :  
"
1145,"not working except for login   :  
"
1146,"i like the wordpress site because as of yet i havent seen an issue with the 1a thanks from texas :  
"
1147,"this app sucks i can never update or post anything its pointless :  
"
1148,"not good as expected app was very slow few features very bad :  
"
1149,"had this a looooonnnggggh time :  
"
1150,"awesome great not words for site :  
"
1151,"give some option to delete messages on others acoount we need that when we post some comment mistakenly on others account but literally we dont wanna post :  
"
1152,"why my blog is blocked i dont understand for it :  
"
1153,"wordpress is good but some staff are not so good to behave sorry for the feadback :  
"
1154,"been failing to update posts using this app for weeks now please fix the app :  
"
1155,"easy to use cant complain      :  
"
1156,"update is not good showing old data :  
"
1157,"i simply cant blog without wordpress :  
"
1158,"site pages not showing         :  
"
1159,"its been good so far cant complain :  
"
1160,"need more improvement          :  
"
1161,"not able to change the slugmake short url on this app :  
"
1162,"how do i completely sign out of my account :  
"
1163,"i am learning how to use it i would like to change name of my site how can i edit my prifile at all :  
"
1164,"sent suppport ticket for help got heard from them after more than 24 hours with an unprofessional reply that doesnt help at all :  
"
1165,"worst app because we cant publish website on net :  
"
1166,"useless app dont download it   :  
"
1167,"is this free or not like domain name etc or any payment :  
"
1168,"works good to keep up with stats :  
"
1169,"is ok but is not allowing me to connect with my facebook page i dont know the reason :  
"
1170,"file upload fail always        :  
"
1171,"very bad i cant even login     :  
"
1172,"uploading failed not working properly hate this app :  
"
1173,"please why cant i upload audio files to my site pls respond :  
"
1174,"someone from wordpress has in fact blocked me sogthelastmsn from accessing my account infringement i would not have posted if god didnt reveal to his servant he does not lie :  
"
1175,"i dont know why it is not opening with wifi :  
"
1176,"jeez the app just became useless i cant even post with it from 5stars to 1 you guys dont even deserve a star :  
"
1177,"this is goodive used this app  :  
"
1178,"its good but reviews and status are too late :  
"
1179,"gets better with unknown account of when more recognizable of the now practice of to do so :  
"
1180,"why the india time zone is not mention :  
"
1181,"i cant connect my website with this app :  
"
1182,"worst updateto much loading    :  
"
1183,"always upload fail             :  
"
1184,"cant download at all           :  
"
1185,"i have difficulty in sharing my blogs on facebook :  
"
1186,"pls i find it hard to shun the subscription form when registering is it compulsory  :  
"
1187,"dont let me customize design on the app and the website tool dont work on phone :  
"
1188,"cant manage my woocommerce store or any other shop elements on the app :  
"
1189,"dissapointing cant even log in :  
"
1190,"cant upload videos             :  
"
1191,"not great but not terrible just in the middle :  
"
1192,"nothing in this app useless web version is far better worst features :  
"
1193,"extremely complicated and dysfunctional :  
"
1194,"its pretty awesome and exciting cant wait to start writing :  
"
1195,"whot to make cookies free website :  
"
1196,"please i nees help i paid to have my site developed for me i have tge admin login to make mu posts but most of the post dont ost immediately submit for review please how do i publish immediately the developer just went off been trying to reach him for days somebody please help me :  
"
1197,"having a hard time replying to comments :  
"
1198,"a good app but cant find my websites :  
"
1199,"please add a justify align     :  
"
1200,"can never post anything on this app ugh :  
"
1201,"you guys should allow more fonts :  
"
1202,"it crashed saying it stopped working :  
"
1203,"app keeps shutting down immediately i downloaded it :  
"
1204,"i have paid but i cant find my page :  
"
1205,"i cant see my stats after the new update :  
"
1206,"not working always posting fail :  
"
1207,"not idea how you add plugins of addchange eventscalendar :  
"
1208,"i dont know yet                :  
"
1209,"it breaks gutenberg pages really sad :  
"
1210,"the signal is soo weak         :  
"
1211,"impossible to get viewers without outside resources :  
"
1212,"9ice app but cant upload music files :  
"
1213,"how do i upload things like apk i can only see option to upload videos n photo its boring :  
"
1214,"if you dont buy your own site name and host it yourself wordpress censors the same as youtube or facebook yet if you have full control its a great medium :  
"
1215,"no proper information regarding the person who visits or likes :  
"
1216,"doesnt work with blocks        :  
"
1217,"sir what is different between computer app and mobile wordpress app :  
"
1218,"jus want to know whether we get likes only through the wordpress posters who or we can get likes through other who sees the post if yes how :  
"
1219,"rubbish appfor making ones blog public needs money  :  
"
1220,"i cant login                   :  
"
1221,"its tough but they all come back to word so you midaswell start here lol :  
"
1222,"when i used this app my website blocked automatically  :  
"
1223,"i already have domain and for small business i clothing while proceeding asking for plansi am from india can themes and supported to add shop photos inside how can i check before purchase of 350m plan i will operate everything from my tabletinlyand not from laptop :  
"
1224,"lag and lag                    :  
"
1225,"horrible app dont download     :  
"
1226,"post uploading failed          :  
"
1227,"i cant cutomize my blog both from website or app :  
"
1228,"very bad app                   :  
"
1229,"why me cant install wordpreess why help :  
"
1230,"cant load the post             :  
"
1231,"why doesnt it open mail from srevers not installed in the mobile :  
"
1232,"never had a problem with this app :  
"
1233,"typing and paneln              :  
"
1234,"awesome but how do i delete coupon codes in bulk :  
"
1235,"enjoy using it still trying to figure it out completely but ill get there :  
"
1236,"it works great mostly          :  
"
1237,"great app no complains         :  
"
1238,"bad sync with pc version       :  
"
1239,"why cant add new plugins and i cant edit themes :  
"
1240,"v nice app                     :  
"
1241,"been a wordpress user since a decade ago and love it :  
"
1242,"i dont have to deal with the ugly boxes on the desktop here on this app :  
"
1243,"does everything i need it to do that being said i dont ask for much just daily upload of my notes and photos from holiday :  
"
1244,"great app didnt accomplished any results sofar buti will :  
"
1245,"waste of time its not working  :  
"
1246,"extremely difficult to use     :  
"
1247,"i request developers to add something like karma in reddit you get it :  
"
1248,"constantly sending me emails constantly :  
"
1249,"why cant i share my post to facebook :  
"
1250,"idk just want to read some translated novelmaybe kinda worked :  
"
1251,"annoying app doesnt let me post :  
"
1252,"bad experience ill stick to the web version :  
"
1253,"been really good so far hard to get followers though :  
"
1254,"why this app doesnt have persian language :  
"
1255,"what is http user name and password :  
"
1256,"actually ive been a word press blogger for quite sometime it was my blogs on politics or politricks no vote no voice on wordpress that got the attention of diane sawyer when i wrote about trayvon martin diane was the one that made the story go national i also did a story on texting while driving i wrote stop saying texting while driving might kill you i stated texting while driving will kill you and so many other interesting topics :  
"
1257,"please it would be cool if you guys allowed monthly payments lots of kids like me in nigeria who want to create a site but cant pay 96 at once but can pay3 a month if allowed  :  
"
1258,"business plan is broken and after 48 hours its still broken dont even waste your time :  
"
1259,"error all times                :  
"
1260,"does not correctly update      :  
"
1261,"i cant use seo while posting from app and thats too bad  :  
"
1262,"get your love back lost love is the most painful of all human experiences when a marriage or relationship breaks down and you feel like love is lost you are left with a million regrets you cant think straight you are always thinking about him or her to come back astrologer dr edward a vedic astrologer love psychic and spiritual healer can help in this time of pain and trouble bring back your ex loverretrieve your lost love spells to help you get a lover of your choice find out if your :  
"
1263,"i dont know what to say but    :  
"
1264,"not much experience yet        :  
"
1265,"55 ive earned 2 40 so far      :  
"
1266,"so far so goodi will post more as i go :  
"
1267,"does not work                  :  
"
1268,"its kind of unfair to those of us who dont have the money to actually pay for an official website you people should at least give those of us who want an official website the chance to have one for free not one where we have to pay right away  :  
"
1269,"made me to use words           :  
"
1270,"its just the best want to ask can we make payment monthly :  
"
1271,"i cant view my plugins         :  
"
1272,"typing is problematic sometimes :  
"
1273,"good but havent really understood what it can do :  
"
1274,"bill gates tried to get me to use this app but its worthless and doesnt compare to other social media blogs :  
"
1275,"we are not able to read the post in full :  
"
1276,"grt but india map is not accurate :  
"
1277,"doesnt work properly           :  
"
1278,"do not use wordpress they censor people sucks because i posted a true story blog about someone conning me and wordpress removed it i tried to reach out several times and they do not respond what happened to freedom of speech reinstate my damn blog its anthonyerekatconmangroup :  
"
1279,"is there facility to add whatsapp widget :  
"
1280,"dont know how to use           :  
"
1281,"something is batter then nothing :  
"
1282,"always used wordpress          :  
"
