,Negative_reviews
37,"i just downloaded this app 2 nights ago i just went to open it and it wont open at all it keeps giving me an error saying it crashed and then when i try it again another error says it keeps crashing so i cant even use this app at all im actually really disappointed im going to have to delete this and go with blogger tumblr or another blogging app to start my blog now i have a revvl plus made by coolpad exclusively for tmobile i got it at the end of may 2018 :  
"
38,"very frustrating wanted to start by organizing menu items because an apple user showed me how easy it was android app i find out has no option in the app after meeting with the other user we find out i have to go to independent publisher 2 and get redirected to the browser there we find menu but am unable to open the items i create unable to delete items because tapping on the arrow drop down button on the right only works 11000 times not user friendly disappointing app experienc :  
"
39,"i love using wordpress the features have gotten easier to use over the past year and there is a lot of interaction with other users making it a kind of social media platform that being said i still have some problems getting certain things to work because the optional integrations are made by other companies and sometimes they dont work well or are not intuitive i still cant get it to post to my facebook page and that is why i am giving it four stars instead of five :  
"
40,"block editor is very slow to load and its a nightmare for text created elsewhere list block turns into text block after pasting lines of text and it cant be changed or adjusted underscore text option is missing app lags when adding blocks formatting in classic editor is now wonky especially for lists :  
"
41,"update4820 still some latency in publishing and cannot seem to erase old and long gone websites other than the hide function but most functionality issues fixed bravo old 1 crashes all the time and i cannot post to my sites 2 blanks out after spending lot of time writing a post in it then loosing all of my work because it blanks out when i hit publish and it hasnt saved 3 the worpress admin panel is bad to utilize most importantly you loose the user functionality :  
"
42,"it has been a life saver to be able to maintain my site remotely i just dont get much time with my home computer these days :  
"
43,"im so angry i cant load my pages and posts pages couldnt be refreshed at this time i cant update or install plugins too its all so annoying update i sent a mail to your team a couple of days before posting my review they havent responded :  
"
44,"its a very nice appi have been using it past 8 monthsbut from last few weeksthere is a problemits not pinging me any comment notification instead i have to go n check those particularl blogs and while uploading any postthe comment section goes missing sometimes because of which i have to delete that particular post and repost please fix this soon :  
"
45,"i am not able to include my wordpess website link in instagram or facebook and why is that so :  
"
46,"hey folks its been a very pleasant experience since joining wordpress but for sometime now its becoming a bit of a headache most especially using the wordpress app using the apps comes with so much ease since i blog on the move but lately ive been forced to publish via my browser any time i publish through the app i get 1 upload failed saved to drafts im not sure what it is but i can use some assistance here thats if it isnt a general issue :  
"
47,"i really love this i use my wordpress self hosted domain here but each time i try to publish a post it will tell the post has not been published meanwhile its already published but keep uploading same post over and over again :  
"
48,"the app is too goodbut when we edit a postthe link gets changed too i request that the edited post should not have another linkit creates lots of problemsbecause we cant justify when someone reaches with the old link :  
"
49,"this is a great app i love it but i was doing a blog post on my phone yesterday i saved it thinking it was saved on the blog but when i got on my laptop and opened the blog post the stuff i put on it was not there this is the first time that this ever happened to me it saved on my phone on the app how do i get it on my laptop again :  
"
50,"app could be more intuitive it seems a bit clunky but ive only been at it a few weeks :  
"
51,"pretty good though you need another app downloaded to wordpress for it to work jetpack only issue i have is that i am unable to put web links in the content unless theyre an email address would be a nice improvement :  
"
52,"i am totally disappointed wordpress is not free as claimed you cant edit html and many more blogger is still the best you have to pay before you can enjoy these features with wordpress :  
"
53,"i can use it but there are too many places where the default and classic mode arent compatible its difficult to start a new paragraph after an image in classic mode :  
"
54,"on tablet this app is not very useful doesnt support tables and the preview function often doesnt work its better to just use the web admin from browser :  
"
55,"my experience with this application is quite good but im quite unsatisfied also with this application as people who are known to me all are saying that its difficult for them to like comment share and follow my account :  
"
56,"overall its not bad but the process to make a post is incredibly awful i tend to write a longpost for my blog and because of that sometimes the app is crashingstop working this just make me uncomfortable writing or even posting on this app id rather back to pc version :  
"
57,"i cant update my site via this app it keeps stopping and failing :  
"
